verb,verb_lemma,noun,dep,id
commessi,commettere,violenze,conj,c3f761f8-a6dd-47ec-ad06-f22c40a7aeb7
avvenute,avvenire,violenze,obj,c3f761f8-a6dd-47ec-ad06-f22c40a7aeb7
registrate,registrare,violenze,nsubj,de25ce53-a3a0-4ae9-b68f-cf4d08420ab7
inaudita,inaudito,violenza,nmod,de25ce53-a3a0-4ae9-b68f-cf4d08420ab7
registrate,registrare,violenze,nsubj,528665e5-3562-4ea6-a2ce-8e71cde4f51f
inaudita,inaudito,violenza,nmod,528665e5-3562-4ea6-a2ce-8e71cde4f51f
incontrollata,incontrollato,violenza,obj,fb6a1679-1925-4f74-9cac-db35c6702255
genera,generare,violenza,conj,96d205a3-195c-4fe8-bc95-f08a557ccd5a
compiute,compiuto,violenze,conj,431a3e66-6085-4c73-80b1-88ef4233a9d9
identificati,identificare,violenze,nsubj,e283e464-9682-4593-b362-49fce2250eda
utilizzò,utilizzare,violenze,nmod,8612fffd-d332-4b7e-9754-6e38f8b26ec1
scoppiate,scoppiare,violenze,obl,e44be65c-54e2-42c1-bb93-afd0b02532de
incontrollata,incontrollato,violenza,obj,6c21a6f6-5f06-4932-9d36-518653a27aac
completato,completare,violenza,nmod,e5d8284c-4680-4397-ab5a-6b37adf909b9
pianificate,pianificare,violenze,nmod,e5d8284c-4680-4397-ab5a-6b37adf909b9
vedevano,vedere,violenza,obl,e5d8284c-4680-4397-ab5a-6b37adf909b9
compiute,compiuto,violenze,conj,0ab8baaa-b8d3-4ff1-9d72-3914530b92d1
resi,rendere,violenza,nmod,b1794549-ab37-49a0-ba55-d4feea0a84b4
perpretate,perpretate,violenze,obj,b1794549-ab37-49a0-ba55-d4feea0a84b4
perse,perso,violenza,obl,bf67f1d3-c2f7-4a20-b560-3ae766212ccd
perse,perso,violenza,obl,a4b2f085-ff12-4263-80e2-7886316bda9d
subite,subito,violenze,nmod,26ff62c7-b7af-473c-a70e-8897deca24f0
è,essere,violenza,obl,39c654bc-9836-4889-a979-a5424fcfd841
perse,perso,violenza,obl,437454a0-4b1a-4158-8151-53348083c341
perpetrate,perpetrare,violenze,nsubj,475d13a3-ef46-4828-82b1-7169829df0bb
inaudita,inaudito,violenza,obl,5a8cf336-82c6-4446-961b-9487236b7562
incontrollata,incontrollato,violenza,ROOT,5747dfb2-94da-485b-be82-2962beb80885
legata,legato,violenza,nsubj:pass,5747dfb2-94da-485b-be82-2962beb80885
animano,animare,violenze,nsubj,5747dfb2-94da-485b-be82-2962beb80885
consumate,consumato,violenze,obl,6484a081-b4ac-45a0-a206-ef7a6bf6d6ee
segnato,segnare,violenze,nsubj,79fd61d7-ea3d-4331-a70f-31c6c157a9ce
perse,perso,violenza,obl,e6e65e4f-2338-4925-b3ed-e514bdc1721a
perse,perso,violenza,obl,a01cb207-4b76-45a1-aad7-2c90d2bdb812
della,della,violenza,nsubj,bd47c1d7-0083-46ad-9e58-6cceb7b0ecec
della,della,violenza,nsubj,9a63d709-e4dc-465d-ba37-dceb3ee98e48
affiancano,affiancare,violenze,ROOT,80260d1d-ff03-484d-8f1a-d6ffa8aa42eb
usata,usato,violenza,nsubj,2e5972df-35d7-40b9-98ba-bba2ac401afe
sulla,sulla,violenze,conj,336a3678-4a38-4aa9-b076-7d01a95e50bc
definito,definire,violenze,nmod,4b80851a-e9c5-4066-b0b4-dec6d72de79a
reiterate,reiterato,violenze,obj,4b80851a-e9c5-4066-b0b4-dec6d72de79a
equipara,equiparare,violenze,nmod,f6998662-26a5-4005-8b5b-8456b2117437
segnato,segnare,violenze,nsubj,05e1328d-71ec-4d3c-8bef-8b3f36d7b952
avvenute,avvenire,violenze,nmod,7f3600ce-7f0f-42f5-a16f-4dfc300ebc31
subite,subito,violenze,conj,3a61791e-10bb-4e75-95cb-6432dff04d94
minaccia,minacciare,violenza,nmod,3a61791e-10bb-4e75-95cb-6432dff04d94
avere,avere,violenza,ROOT,424c956a-b9f2-4e5b-b6ff-8f85a1b83a04
avrebbe,avere,violenza,obl,424c956a-b9f2-4e5b-b6ff-8f85a1b83a04
individui,individuo,violenza,ROOT,424c956a-b9f2-4e5b-b6ff-8f85a1b83a04
stupida,stupido,violenza,obj,424c956a-b9f2-4e5b-b6ff-8f85a1b83a04
perpetrate,perpetrare,violenze,obj,4e3740bc-144d-4c11-a63a-d0a66962c2fb
compiute,compiuto,violenze,conj,e25adf67-cf9d-4bc3-b174-b6927891ca6e
siamo,essere,violenza,ROOT,d9778f78-c780-432c-a8a1-be64b4b7f3ed
entreremo,entrare,violenza,ROOT,d9778f78-c780-432c-a8a1-be64b4b7f3ed
culminata,culminare,violenza,nmod,9db80462-772a-47b0-a15c-754b50e28ca8
camuffata,camuffare,violenza,obj,bf9bbbc5-9f20-4e88-852c-c64b21ae5cd3
volta,volto,violenza,obl,a571f82b-7f9a-46c7-a6ae-dbff89f9cc22
posta,posto,violenza,obj,a571f82b-7f9a-46c7-a6ae-dbff89f9cc22
segnato,segnare,violenze,nsubj,4a40df39-9c8a-43b3-8c08-515e16b3614d
fatto,fare,violenze,nsubj:pass,f55f4ede-3379-4d99-b47a-9e2f157b9a69
perpetrate,perpetrare,violenze,flat:name,7c366e89-56c6-438f-a7e3-374641263353
della,della,violenze,nsubj,95b6e3c4-9944-4ea8-baa9-499b73ca1f11
volta,volto,violenza,obl,edf7d998-6eab-4e3e-a9ee-41b3432bb6dc
posta,posto,violenza,obj,edf7d998-6eab-4e3e-a9ee-41b3432bb6dc
insanguinarono,insanguinare,violenze,conj,638d35a4-2cf2-468e-b9af-ea2f36f83d58
segnato,segnare,violenze,obj,3f10bd5a-b926-4336-a550-ca9c5fc59636
volta,volto,violenza,obl,851555b6-23b5-41a5-849f-f805dbf47807
posta,posto,violenza,obj,851555b6-23b5-41a5-849f-f805dbf47807
espresso,esprimere,violenza,nmod,b5051dbc-ca7e-4c4b-a31d-8633c3d3e409
minaccia,minacciare,violenza,ROOT,b5051dbc-ca7e-4c4b-a31d-8633c3d3e409
usata,usato,violenza,obl,b5051dbc-ca7e-4c4b-a31d-8633c3d3e409
volta,volto,violenza,obl,9b46044a-31fa-4bac-bef4-834f51238de4
posta,posto,violenza,obj,9b46044a-31fa-4bac-bef4-834f51238de4
fatto,fare,violenze,nsubj:pass,6a198e33-8b43-436d-8d64-4fe9c0b5a159
dà,dare,violenza,obj,57d29945-edcc-4323-873f-172ac69ce10f
dichiarano,dichiarare,violenza,nsubj:pass,57d29945-edcc-4323-873f-172ac69ce10f
sviluppato,sviluppare,violenza,ROOT,57d29945-edcc-4323-873f-172ac69ce10f
praticate,praticare,violenze,conj,898988dc-41ae-4bb6-aae7-ef40fc5675a2
lasciato,lasciare,violenza,ROOT,8ac2b62a-c99f-4ef6-8df5-c101dbc847da
fa,fare,violenza,conj,8ac2b62a-c99f-4ef6-8df5-c101dbc847da
volta,volto,violenza,obl,f723e3a3-e57f-4759-8fd8-033a6b822a23
posta,posto,violenza,obj,f723e3a3-e57f-4759-8fd8-033a6b822a23
